"LABEL","PLATFORM","TYPE","ENGLISH","AMERICAN","FRENCH","GERMAN","DANISH","FRENCH_CANADIAN","DUTCH","MEXICAN"
"DX_Wyldstyle_MuchBetterNowTo","All","Subtitle","Wyldstyle: Much better! Now to get through that doorway...","Wyldstyle: Much better! Now to get through that doorway...","Cool Tag : Ah, c'est mieux¬! Maintenant, il faut passer par le portail...","Wyldstyle: Viel besser! Jetzt durch diesen Eingang!","Meget bedre! Så skal jeg bare igennem den dør ...","Wyldstyle : Ah, c'est mieux¬! Maintenant, il faut passer par le portail...","Wyldstyle: Veel beter! Nu nog door die deur.","Estilo-libre: ¡Mucho mejor! Ahora hay que pasar por esa puerta..."
"DX_Wyldstyle_BingoThe","All","Subtitle","Wyldstyle: Bingo! The forcefield is down.","Wyldstyle: Bingo! The forcefield is down.","Cool Tag : Bingo¬! Champ de force désactivé.","Wyldstyle: Bingo, das Kraftfeld ist aus!","Sådan der! Kraftfeltet er nede.","Wyldstyle : Bingo¬! Champ de force désactivé.","Wyldstyle: Bingo. Het krachtveld is uitgeschakeld.","Estilo-libre: ¡Bingo! El campo está desactivado."
"DX_2ndDoctor_YouveHadThis","All","Subtitle","2nd Doctor: You've had this place redecorated, haven't you? Hmm, don't like it...","2nd Doctor: You've had this place redecorated, haven't you? Hmm, don't like it...","2e Docteur : Vous avez fait redécorer l'endroit, hein, c'est ça¬? Hum, ça ne me plaît pas.","2. Doktor: Sie haben einiges in diesem Zimmer umgestellt, das ... gefällt mir nicht!","Du har flyttet om, har du ikke? Hmmm, jeg bryder mig ikke om det.","2e Docteur : Vous avez fait redécorer l'endroit, hein, c'est ça¬? Hum, ça ne me plaît pas.","Tweede Doctor: Je hebt het hier anders ingericht, hè? Het bevalt me niet.","Segundo Doctor: Redecoraste el lugar, ¿no es así? Mmm, no me gusta."
"DX_Benny_SoNoSpaceShip","All","Subtitle","Benny: So... No spaceship?","Benny: So... No spaceship?","Benny : Alors, euh... pas de vaisseau spatial¬?","Benny: Oh ... doch kein Raumschiff?","Så... ikke noget rumskib?","Benny : Alors, euh... pas de vaisseau spatial¬?","Benny: Dus geen ruimteschip?","Benny: Así que... ¿sin nave?"
"DX_DocEmmetBrown_IfWeCantFix","All","Subtitle","Doc Emmett Brown: If we can't fix this current time... then who knows how much it will affect the future!","Doc Emmett Brown: If we can't fix this current time... then who knows how much it will affect the future!","Doc Emmett Brown : Si on n'arrive pas à arranger le temps présent... imaginez un peu les répercussions sur le futur¬!","Doc Emmett Brown: Wenn wir den Blitzschlag auf die Zeitmaschine ableiten können, hätten wir alle Energie, die wir nur brauchen.","Hvis vi ikke kan fikse denne tid ... så er det ikke til at vide, hvad det vil gøre ved fremtiden!","Doc Emmett Brown : Si on n'arrive pas à arranger le temps présent... imaginez un peu les répercussions sur le futur¬!","Doc Emmett Brown: Als we onze tijd niet kunnen repareren kan dat grote gevolgen hebben voor de toekomst.","Doc Emmett Brown: Si no podemos arreglar este tiempo... ¡quién sabe cuál podrá ser su efecto en el futuro!"
"DX_Gollum_WeQuiteLike","All","Subtitle","Gollum: We quite likes this place, don't we Precious? NO! Quiet you!","Gollum: We quite likes this place, don't we Precious? NO! Quiet you!","Gollum : Nous aimons cet endroit, pas vrai mon Précieux¬? NAAN¬! Silence¬!","Gollum: Wir mögen diesen Ort, nicht wahr, mein Schatz? ... Nein, sei still!","Vi kan lide det her sted, ikke, min dyrebare? Nej! ti stille.","Gollum : Nous aimons cet endroit, pas vrai mon Précieux¬? NAAN¬! Silence¬!","Gollem: Wij houden van dit pleksje, toch lieveling? Nee. Stil jij.","Gollum: Nos gusta este lugar, ¿no es así, precioso? ¡No! ¡Silencio!"
"DX_KidGamer_RageQuit","All","Subtitle","Gamer Kid: Rage quit!","Gamer Kid: Rage quit!","Gamin ''gamer'' : La haiiine¬!","Zocker: Ragequit!","Rage quit!","Gamin ''gamer'' : La haiiine¬!","Gamerkind: Ik kap ermee!","Niño Jugador: ¡Mal perdedor!"
"DX_MartyMcfly_LetsPutSome","All","Subtitle","Marty McFly: Let's put some style in to this hunk-o-junk!","Marty McFly: Let's put some style in to this hunk-o-junk!","Marty McFly : On va lui donner du style, à ce tas de ferraille¬!","Marty McFly: Dann motzen wir diese Schrottkiste mal etwas auf!","Lad os få givet den skrotbunke noget stil!","Marty McFly : On va lui donner du style, à ce tas de ferraille¬!","Marty McFly: Laten we deze schroothoop wat stijl geven.","Marty McFly: ¡Démosle algo de estilo a esta chatarra!"
"DX_Slimer_Moving3","All","Subtitle","¬","¬","¬","¬","¬","¬","¬","¬"
"DX_WickedWitch_IllBeBackForYouLate","All","Subtitle","Wicked Witch: I'll be back for you later! Ngyahahaha!","Wicked Witch: I'll be back for you later! Ngyahahaha!","Méchante Sorcière : Je reviendrai vous chercher plus tard¬! Ha ha ha ha ha¬!","Böse Hexe: Euch schnapp ich mir später! Ahahahaha!","Jeg kommer efter dig senere! Ngyahahaha!","Wicked Witch : Je reviendrai vous chercher plus tard¬! Ha ha ha ha ha¬!","Boze heks: Ik reken later met je af!","Bruja Mala: ¡Ya volveré más tarde! ¡Mua, ja, ja, ja, ja!"
"CS_Gandalf_TheRingFrodoHas_A","All","Subtitle","Gandalf: The Ring!","Gandalf: The Ring!","Gandalf : L'Anneau¬!","Gandalf: Der Ring!","Ringen!","Gandalf : L'Anneau¬!","Gandalf: De ring!","Gandalf: ¡El Anillo!"
"CS_Wyldstyle_Oh2","All","Subtitle","Wyldstyle: Ohhhhh....","Wyldstyle: Ohhhhh....","Cool Tag : Ohhhhh...","Wyldstyle: Oooh...","Ohhhh...","Wyldstyle : Ohhhhh...","¬","Estilo-libre: Ohhhhh..."
"CS_Wyldstyle_AnEvilSupermanGreat","All","Subtitle","Wyldstyle: An evil Superman. Great. What else could go wrong?","Wyldstyle: An evil Superman. Great. What else could go wrong?","Cool Tag : Un Superman maléfique. Génial. Ça pourrait pas être pire, là¬?","Wyldstyle: Ein böser Superman. Toll. Was kann sonst noch schiefgehen?","En ond Superman. Skønt. Så bliver det ikke værre.","Wyldstyle : Un Superman maléfique. Génial. Ça pourrait pas être pire, là¬?","Wyldstyle: Een kwaadaardige Superman. Fijn. Wat kan er nog meer fout gaan?","Estilo-libre: Un Superman malo. Genial. ¿Qué podría salir peor?"
"CS_LordVortech_YesIveFoundIt_A1","All","Subtitle","Lord Vortech: Yes...","Lord Vortech: Yes...","Lord Vortech : Oui...","Lord Vortech: Ja ...","Ja...","Lord Vortech : Oui...","Lord Vortech: Ja...","Lord Vortech: Sí..."
"DX_EXPO_MoveThroughTheInstZ","All","Subtitle","X-PO: Move through the instruction pages and use them to build your LEGO toy.","X-PO: Move through the instruction pages and use them to build your LEGO toy.","X-PO : Naviguez dans les pages d'instructions et servez-vous-en pour construire votre jouet LEGO.","X-PO: Blättere durch die Anleitung. Sie hilft dir dabei, dein LEGO-Spielzeug zu bauen.","Læs siderne i vejledningen igennem for at bygge dit LEGO-legetøj.","X-PO : Naviguez dans les pages d'instructions et servez-vous-en pour construire votre jouet LEGO.","X-PO: Lees alle pagina's met instructies om je LEGO-speelgoed te bouwen.","X-PO: Desplázate por las instrucciones y úsalas para construir tu juguete LEGO."
"MINEABILITY_NAME","All","LegoAPI","Mine Weapon","Mine Weapon","Arme : Mine","Minen-Waffe","Minevåben","Arme : Mine","Mijnwapen","Arma de minas"
"HUB_GHOSTBUSTERS","All","Game","Ghostbusters World","Ghostbusters World","S.O.S. Fantômes","Welt: Ghostbusters - Die Geisterjäger","Verden: Ghostbusters","Ghostbusters","Ghostbusters-wereld","Mundo de Cazafantasmas"
"PLAY_AGAIN","All","Game","Play again?","Play again?","Rejouer¬?","Nochmal spielen?","Spil igen?","Rejouer¬?","Opnieuw spelen?","¿Jugar de nuevo?"
"DX_WizardOfOz_HelpMeHelp","All","Subtitle","Wizard of Oz: Help me! Help!","Wizard of Oz: Help me! Help!","Magicien d'Oz : À l'aide¬! Au secours¬!","Zauberer von Oz: Hilfe! Helft mir!","Hjælp mig! Hjælp!","Wizard of Oz : À l'aide¬! Au secours¬!","Tovenaar van Oz: Help me! Help!","Mago de Oz: ¡Ayuda! ¡Ayuda!"
"RelaxChamber","All","Game","Restore the relaxation chamber?","Restore the relaxation chamber?","Restaurer la salle de détente¬?","Das Entspannungszimmer wiederaufbauen?","Reparer afslapningskammeret?","Restaurer la salle de détente¬?","De relaxruimte herstellen?","¿Restaurar la cámara de relajación?"
"PORTAL_QUEST01_ACT_PAGE2","All","Game","Also fortunately for you, the challenge rating awarded to this test is '~7Amateur Baby~~', so you should have little to no difficulty completing it. Good luck.","Also fortunately for you, the challenge rating awarded to this test is '~7Amateur Baby~~', so you should have little to no difficulty completing it. Good luck.","GLaDOS : Et par dessus le marché, la difficulté du test suivant est garantie pour ''~7bébés amateurs~~''. Vous ne devriez pas avoir de mal à vous en sortir. Bonne chance.","Ebenso zu deinem Glück ist der Schwierigkeitsgrad dieses Tests ~7„Amateurbaby“~~ also sollte er dir nicht zu viele Probleme bereiten. Viel Glück.","Det er også heldigt for dig at denne udfordrings sværhedsgrad er ~7Amatør Baby~~, så du burde have liden til ingen problemer med at udfører den. Held og lykke.","GLaDOS : Et par dessus le marché, la difficulté du test suivant est garantie pour ''~7bébés amateurs~~''. Vous ne devriez pas avoir de mal à vous en sortir. Bonne chance.","Ook gelukkig voor jou is de classificatie van deze test '~7Amateurbaby~~', dus je hebt er vast geen moeite mee. Succes.","También para tu fortuna, el reto de esta prueba está evaluado como ~7Bebé novato~~, así que no debes tener ninguna dificultad para completarla. Buena suerte."
"LEVEL_9GHOSTBUSTERSDOCKS","All","Level","Ghostly Goings-On","Ghostly Goings-On","Manigances spectrales","Gespenstische Geschehnisse","Spøgagtige Hændelser","Manigances spectrales","Geestig gedoetje","Sucesos fantasmales"
"HINT_SCALEPICKUP","All","Hint","You can pick up a box after it’s been thrown into place by walking up to it and pressing [[SPECIAL]].","You can pick up a box after it’s been thrown into place by walking up to it and pressing [[SPECIAL]].","Après avoir lancé une boîte en place, vous pouvez toujours la ramasser en appuyant sur [[SPECIAL]].","Du kannst den Würfel aufheben nachdem du ihn in Position gebracht hast, indem du dich davor stellst und [[SPECIAL]] drückst.","Du kan samle en kasse op, efter at den er blevet smidt på plads, ved at gå hen til den, og trykke på [[SPECIAL]].","Après avoir lancé une boîte en place, vous pouvez toujours la ramasser en appuyant sur [[SPECIAL]].","Je kunt een doos oppakken nadat deze op zijn plek is gegooid door ernaartoe te lopen en op [[SPECIAL]] te drukken.","Para recoger una caja después de arrojarla en su lugar, camina hacia ella y oprime [[SPECIAL]]."
"ROAR_DESC","All","LegoAPI","Model explodes after a count down (Hold down [[B]]).","Model explodes after a count down (Hold down [[B]]).","La maquette explosera après un compte à rebours (Maintenez [[B]] appuyé).","Modell explodiert nach einem Countdown (Halte [[B]] gedrückt).","Modellen eksploderer efter en nedtælling (Hold [[B]] nede).","La maquette explosera après un compte à rebours (Maintenez [[B]] appuyé).","Model wordt na het aftellen opgeblazen (hou [[B]] ingedrukt).","El modelo explota tras una cuenta regresiva (mantén oprimido [[B]])."
"BTTF_QUEST00_ACT_PAGE2","All","Game","Usually he comes back after a few minutes of me yelling myself hoarse, but this time he seems to be determined that I lose my voice entirely! Would you mind ~3taking a look around~~ for him?","Usually he comes back after a few minutes of me yelling myself hoarse, but this time he seems to be determined that I lose my voice entirely! Would you mind ~3taking a look around~~ for him?","Doc Brown : D'habitude il revient au bout de quelques minutes, une fois que je me suis bien égosillé à l'appeler¬! Mais là, je crois qu'il veut me rendre complètement aphone¬! Vous pourriez ~3partir à sa recherche~~¬?","Meistens kommt er zurück wenn ich mich heiser geschrien habe, aber diesmal will er wohl warten, bis ich meine Stimme vollends verliere. könntest du vielleicht ~3nach ihm suchen?~~","Han kommer som regel tilbage når jeg har skreget mig selv hæs, men denne gang er han vidst ude på at jeg helt skal miste stemmen. Gider du ikke hjælpe mig med at ~3lede efter~~ ham?","Doc Brown : D'habitude il revient au bout de quelques minutes, une fois que je me suis bien égosillé à l'appeler¬! Mais là, je crois qu'il veut me rendre complètement aphone¬! Vous pourriez ~3partir à sa recherche~~¬?","Meestal komt hij wel terug als ik een paar minuten mijn keel schor heb geschreeuwd, maar dit keer wil hij vast dat ik mijn stem helemaal kwijtraak! Zou jij hem ~3kunnen zoeken~~?","Usualmente regresa después de unos minutos de gritarle hasta quedarme ronco, ¡pero esta vez parece determinado a que pierda mi voz por completo! ¿Te importaría ~3buscarlo por aquí~~?"
"HINT_GAUNTLET_EXIT","All","Hint","FIND EXIT TO NEXT LEVEL","FIND EXIT TO NEXT LEVEL","TROUVEZ LA SORTIE VERS LE PROCHAIN NIVEAU","FINDE AUSGANG ZUM NÄCHSTEN LEVEL","FIND UDGANGEN TIL NÆSTE BANE","TROUVEZ LA SORTIE VERS LE PROCHAIN NIVEAU","ZOEK DE UITGANG NAAR HET VOLGENDE LEVEL","BUSCA LA SALIDA AL PRÓXIMO NIVEL"
"DX_LordVortech_TheDiamondScarab","All","Subtitle","Suspicious Mummy: The Diamond Scarab calls you from your slumber!","Suspicious Mummy: The Diamond Scarab calls you from your slumber!","Momie suspecte : Le Diamant scarabée vous tire de votre profond sommeil¬!","Verdächtige Mumie: Der Diamantenskarabäus erweckt euch aus eurem Schlaf!","Diamantskarabæen vækker jer fra jeres dvale.","Momie suspecte : Le Diamant scarabée vous tire de votre profond sommeil¬!","Verdachte mummie: De diamanten scarabee wekt jullie!","Momia sospechosa: El escarabajo de diamante los llama de su sueño."
"DX_LordVortech_YouDareTryToRuin","All","Subtitle","Lord Vortech: You dare try to ruin this dimension? MY DIMENSION!","Lord Vortech: You dare try to ruin this dimension? MY DIMENSION!","Lord Vortech : Vous avez le culot de vous en prendre à cette dimension¬? MA DIMENSION¬?","Lord Vortech: Ihr wagt es, zu versuchen, diese Dimension zu zerstören? ... MEINE DIMENSION¬...","I vover at prøve at ødelægge denne dimension? Min dimension!","Lord Vortech : Vous avez le culot de vous en prendre à cette dimension¬? MA DIMENSION¬?","Lord Vortech: Jullie durven deze dimensie te bezoedelen? Mijn dimensie.","Lord Vortech: ¿Se atreven a destruir esta dimensión? ¡Mi dimensión!"
"DX_Wyldstyle_ReallyStartingToWish","All","Subtitle","Wyldstyle: Really starting to wish I'd brought a bag of peanuts...","Wyldstyle: Really starting to wish I'd brought a bag of peanuts...","Cool Tag : J'aurais dû penser à apporter des cacahuètes...","Wyldstyle: Ich wünschte, ich hätte ne Packung Erdnüsse mitgenommen¬...","Jeg vidste, at jeg skulle have taget en pose peanuts med.","Wyldstyle : J'aurais dû penser à apporter des cacahuètes...","Wyldstyle: Ik krijg echt spijt dat ik geen nootjes heb meegenomen.","Estilo-libre: Empiezo a desear haber traído maní..."
"DX_Wyldstyle_BringItOn","All","Subtitle","Wyldstyle: Bring it on.","Wyldstyle: Bring it on.","Cool Tag : C'est parti.","Wyldstyle: Na dann mal los!","Bare kom an!","Wyldstyle : C'est parti.","Wyldstyle: Ik ben er klaar voor.","Estilo-libre: ¡Vamos!"
"DX_3rdDoctor_AreYouFeeling","All","Subtitle","3rd Doctor: Are you feeling all right, old chap?","3rd Doctor: Are you feeling all right, old chap?","3e Docteur : Comment vous sentez-vous¬?","3. Doktor: Geht's dir gut, alter Freund?","Er der noget galt min ven?","3e Docteur : Comment vous sentez-vous¬?","Derde Doctor: Alles goed met je, makker?","Tercer Doctor: ¿Te sientes bien, camarada?"
"DX_Benny_SoThePlanIs","All","Subtitle","Benny: So the plan is to beat up this big bad boss and then build a spaceship!","Benny: So the plan is to beat up this big bad boss and then build a spaceship!","Benny : Voilà le plan¬: on élimine le gros méchant boss et on construit un vaisseau spatial¬!","Benny: Also, der Plan ist wie folgt: wir besiegen den fiesen Boss und bauen dann ein RAUMSCHIFF!","Så planen er at tæve den store stygge boss, også bygge et rumskib!","Benny : Voilà le plan¬: on élimine le gros méchant boss et on construit un vaisseau spatial¬!","Benny: Dus we moeten deze slechterik afrossen en dan een ruimteschip maken?","Benny: ¡Así que el plan es derrotar a este gran jefe malo y construir una nave!"
"DX_DocEmmetBrown_iInvented","All","Subtitle","Doc Emmett Brown: I invented time travel yet I can't figure out this perplexing puzzle!","Doc Emmett Brown: I invented time travel yet I can't figure out this perplexing puzzle!","Doc Emmett Brown : Moi qui ai inventé le voyage dans le temps, je perds mes moyens devant ce casse-tête¬!","Doc Emmett Brown: Ich habe zwar Zeitreisen erfunden, aber bei diesem Rätsel komme ich nicht weiter.","Nok har jeg opfundet tidsrejser, men denne her gåde må selv jeg give op overfor.","Doc Emmett Brown : Moi qui ai inventé le voyage dans le temps, je perds mes moyens devant ce casse-tête¬!","Doc Emmett Brown: Ik heb het tijdreizen uitgevonden, maar deze puzzel gaat me boven mijn pet.","Doc Emmett Brown: Inventé el viaje en el tiempo, ¡aun así no puedo resolver este desconcertante acertijo!"
"DX_Gollum_WhatAreYou","All","Subtitle","Gollum: What are you supposed to be?","Gollum: What are you supposed to be?","Gollum : Qu'est-ce que c'est que cette mocheté¬?","Gollum: Was ist es, was ist es?","Hvem er det lige, du er?","Gollum : Qu'est-ce que c'est que cette mocheté¬?","Gollem: Wat moet jij voorstellen?","Gollum: ¿Qué se supone que eres?"
"DX_KidGamer_RedNotTheMost","All","Subtitle","Gamer Kid: Red, not the most stealthy colour pal.","Gamer Kid: Red, not the most stealthy color pal.","Gamin ''gamer'' : Le rouge... C'est pas idéal pour s'infiltrer, mon pote.","Zocker: Rot ist nicht gerade die beste Tarnfarbe.","Rød - ikke så snigeragtig farve, min ven.","Gamin ''gamer'' : Le rouge... C'est pas idéal pour s'infiltrer, mon pote.","Gamerkind: Rood is niet de meest onopvallende kleur.","Niño Jugador: El rojo no es el color más discreto, amigo."
"DX_MartyMcfly_NowThisCar","All","Subtitle","Marty McFly: Now this car would make a sweet time machine!","Marty McFly: Now this car would make a sweet time machine!","Marty McFly : Cette caisse ferait une chouette machine à voyager dans le temps¬!","Marty McFly: Die Karre würde ne super Zeitmaschine abgeben!","Se, den bil kunne blive en fed tidsmaskine!","Marty McFly : Cette caisse ferait une chouette machine à voyager dans le temps¬!","Marty McFly: Dit zou een gave tijdmachine zijn.","Marty McFly: ¡Este auto sería una gran máquina del tiempo!"
"DX_Slimer_Screaming1","All","Subtitle","¬","¬","¬","¬","¬","¬","¬","¬"
"DX_WickedWitch_IllGetYou","All","Subtitle","Wicked Witch: I'll get you... and your little dogs, too!","Wicked Witch: I'll get you... and your little dogs, too!","Méchante Sorcière : Je vous aurai... Vous et vos petits chiens¬!","Böse Hexe: Ich kriege euch! Und eure kleinen Hunde auch!","Jeg fanger dig ... og også dine små hunde!","Wicked Witch : Je vous aurai... Vous et vos petits chiens¬!","Boze heks: Ik zal jou en je hondjes krijgen!","Bruja Mala: ¡Los voy a atrapar... y también a sus perritos!"
"CS_Gandalf_TheRingFrodoHas_B","All","Subtitle","Gandalf: Frodo has the One Ring - it cannot fall into the enemy's hands! Quickly, fly!","Gandalf: Frodo has the One Ring - it cannot fall into the enemy's hands! Quickly, fly!","Gandalf : C'est Frodon qui a l'Anneau Unique... Nous devons empêcher l'ennemi de le reprendre¬! Vite, envolez-vous¬!","Gandalf: Frodo hat den Einen Ring - er darf nicht in die falschen Hände geraten! Schnell, flieg los!","Frodo har Den Ene Ring! Den må ikke falde i hænderne på fjenden! Skynd dig! Flyv!","Gandalf : C'est Frodon qui a l'Anneau Unique... Nous devons empêcher l'ennemi de le reprendre¬! Vite, envolez-vous¬!","Gandalf: Frodo heeft de ene ring! De vijand mag hem niet te pakken krijgen! Vlug, vlieg!","Gandalf: Frodo tiene el Anillo Único, ¡no puede caer en manos del enemigo! ¡Rápido, vuela!"
"CS_Batman_ThatsRightLeaveItToBatman","All","Subtitle","Batman: That's right, leave it to Batman, again.","Batman: That's right, leave it to Batman, again.","Batman : C'est ça, laissez faire Batman. Comme d'hab.","Batman: Na klar, überlass es Batman. Mal wieder.","Ja ja, så er det op til Batman, igen.","Batman : C'est ça, laissez faire Batman. Comme d'hab.","Batman: Ja hoor, laat Batman alles maar wéér opknappen.","Batman: Eso es, déjaselo a Batman otra vez."
"CS_Batman_HisShipHasLaser","All","Subtitle","Batman: His ship has laser cannons.","Batman: His ship has laser cannons.","Batman : Son vaisseau a des canons laser.","Batman: Sein Schiff hat Laserkanonen.","Han skyder med laserkanoner.","Batman : Son vaisseau a des canons laser.","Batman: Zijn schip heeft laserkanonnen.","Batman: Su nave tiene cañones láser."
"CS_LordVortech_YesIveFoundIt_A2","All","Subtitle","Lord Vortech: I've found it!","Lord Vortech: I've found it!","Lord Vortech : Je l'ai trouvée.","Lord Vortech: Ich hab's gefunden!","Jeg fandt den!","Lord Vortech : Je l'ai trouvée.","Lord Vortech: Ik heb het gevonden!","Lord Vortech: La encontré..."
"SCOOBY_QUEST00","All","Game","A Right Spectacle","A Right Spectacle","Bien vu","Der totale Durchblick","Et rigtigt spektakel","Bien vu","Een recht spektakel","Un espectáculo correcto"
"DX_EXPO_PressTheColourIconToZ","All","Subtitle","X-PO: Press the icon to change the colours.","X-PO: Press the icon to change the colors.","X-PO : Appuyez sur l'icône pour changer de couleur.","X-PO: Drücke auf das Symbol, um die Farben zu ändern.","Tryk på ikonet for at skifte farver.","X-PO : Appuyez sur l'icône pour changer de couleur.","X-PO: Druk op het icoontje voor een andere kleur.","X-PO: Presiona el ícono para cambiar los colores."
"INCREASEDGROUNDSPEEDBY25_DESC","All","LegoAPI","Increased model movement","Increased model movement","Vitesse au sol augmentée","Modellgeschwindigkeit erhöht","Forøget bevægelseshastighed","Vitesse au sol augmentée","Verbeterde snelheid model","Desplazamiento de modelo incrementado"
"HUB_JURASSIC","All","Game","Jurassic World","Jurassic World","Jurassic World","Jurassic World","Jurassic World","Jurassic World","Jurassic World","Mundo Jurásico"
"FORFEIT_BATTLE","All","Game","Abandon 2P Battle","Abandon 2P Battle","Abandonner la bataille à 2 joueurs","Zweispieler-Schlacht verlassen","Afslut 2-spiller-kampen","Abandonner la bataille à 2 joueurs","2P-gevecht verlaten","Abandonar batalla de 2J"
"DX_WizardOfOz_ImInASpotOf","All","Subtitle","Wizard of Oz: I'm in a spot of bother. Can anyone be of assistance?","Wizard of Oz: I'm in a spot of bother. Can anyone be of assistance?","Magicien d'Oz : Argh¬! Me voilà dans de beaux draps. Est-ce que quelqu'un pourrait m'aider¬?","Zauberer von Oz: I-ich habe hier ein kleines Problem. Könnte mir jemand helfen?","Jeg er kommet lidt i knibe. Er der nogen, der kan hjælpe mig?","Wizard of Oz : Argh¬! Me voilà dans de beaux draps. Est-ce que quelqu'un pourrait m'aider¬?","Tovenaar van Oz: Ik zit in de penarie. Kan iemand me helpen?","Mago de Oz: Tengo un problema. ¿Alguien puede ayudarme?"
"TurretControl","All","Game","Restore the turret control room?","Restore the turret control room?","Restaurer la salle de contrôle de tourelles¬?","Das Kontrollzimmer wiederaufbauen?","Reparer kanontårns-kontrolrummet?","Restaurer la salle de contrôle de tourelles¬?","De controleruimte voor de geschutkoepel herstellen?","¿Restaurar la sala de control de torretas?"
"PORTAL_QUEST01_COM_PAGE1","All","Game","It appears you have completed the tests. Congratulations. You can now enjoy the honour of being the only living person/persons in the world to have used Repulsion and Propulsion Gel and not met a fatal end. Although the day is still young, so...","It appears you have completed the tests. Congratulations. You can now enjoy the honor of being the only living person/persons in the world to have used Repulsion and Propulsion Gel and not met a fatal end. Although the day is still young, so...","GLaDOS : On dirait que vous avez terminé les tests. Bravo¬! Vous pouvez vous congratuler d'être la ou les seule(s) personne(s) au monde à avoir utilisé les gels propulsif et répulsif sans avoir connu une fin tragique. Ceci étant dit, la journée est loin d'être finie...","Anscheinend hast du die Tests abgeschlossen. Glückwunsch. Damit hast du nun die Ehre, die einzige lebende Person zu sein, die Rückstoß- und Abtriebs-Gels verwendet hat, ohne zu sterben. Allerdings ist der Tag ja auch noch jung, also¬...","Du har tilsyneladende fuldendt dine tests. Tillykke. Du har nu æren af at kunne kalde dig den/de eneste personer nogensinde der har brugt frastøds og fremdrifts-gel uden at have mødt et frygteligt endeligt. Dagen er selvfølgelig ikke slut endnu...","GLaDOS : On dirait que vous avez terminé les tests. Bravo¬! Vous pouvez vous congratuler d'être la ou les seule(s) personne(s) au monde à avoir utilisé les gels propulsif et répulsif sans avoir connu une fin tragique. Ceci étant dit, la journée est loin d'être finie...","Zo te zien heb je de tests afgerond. Gefeliciteerd. Je bent nu de enige levende persoon ter wereld die na het gebruik van de repulsie- en propulsiegel niet gruwelijk aan zijn einde is gekomen. Alhoewel, de dag is nog jong... dus...","Parece que has completado las pruebas. Felicidades. Ahora puedes disfrutar el honor de contarte entre los únicos que han usado el gel repulsor y el gel propulsor sin llegar a un final fatal. Aunque el día aún es joven, así que..."
"LEVEL_9GHOSTBUSTERSTITANIC","All","Level","RMS Unsinkable (Sunken)","RMS Unsinkable (Sunken)","R.M.S. Unsinkable (Coulé)","R.M.S. Unsinkbar (Gesunken)","RMS Usynkbar (Sunket)","R.M.S. Unsinkable (Coulé)","RMS Onzinkbaar (gezonken)","RMS Indestructible (hundido)"
"TI_TOWBAR","All","LegoAPI","Tow Bar Ability","Tow Bar Ability","Capacité : Barre de remorquage","Fähigkeit „Abschleppstange“","Evne: Anhængertræk","Capacité : Barre de remorquage","Sleepbalk","Habilidad barra de remolque"
"BTTF_QUEST00_COM_PAGE1","All","Game","Einstein! Thank Sir Isaac H. Newton you're alright! I hope this kind of protest doesn't continue, otherwise I'm going to have to travel back to 1985 every time I want to feed you!","Einstein! Thank Sir Isaac H. Newton you're alright! I hope this kind of protest doesn't continue, otherwise I'm going to have to travel back to 1985 every time I want to feed you!","Einstein¬! Te voilà¬! Par tous les pépins de la pomme de Newton, j'espère que tu vas bientôt arrêter tes caprices. On n'peut pas retourner en '85 pour remplir ta gamelle¬!","Einstein! Sir Isaac H. Newton sei Dank, dass es dir gut geht! Ich hoffe, diese Form des Protests findet jetzt ein Ende, sonst muss ich jedes Mal ins Jahr 1985, nur um dich zu füttern!","Einstein! Tak Sir Isaac H. Newton for at du er ok! Jeg håber ikke at de protester fortsætter, ellers må jeg rejse tilbage til 1985 hver gang jeg skal fodre dig!","Einstein¬! Te voilà¬! Par tous les pépins de la pomme de Newton, j'espère que tu vas bientôt arrêter tes caprices. On n'peut pas retourner en '85 pour remplir ta gamelle¬!","Einstein! Bij Sir Isaac H. Newton, gelukkig is alles goed met je! Ik hoop dat je niet zo opstandig blijft, want anders moet ik telkens terugreizen naar 1985 om je te voeren!","¡Einstein! ¡Gracias a Newton que estás bien! ¡Espero que este tipo de protestas no continúe, de lo contrario tendré que regresar a 1985 cada vez que quiera alimentarte!"
"HINT_GAUNTLET_SHOOT","All","Hint","COLLECT KEYS TO OPEN DOORS","COLLECT KEYS TO OPEN DOORS","RÉCOLTEZ LES CLÉS POUR OUVRIR LES PORTES","SAMMLE SCHLÜSSEL, UM TÜREN ZU ÖFFNEN","INDSAML NØGLER FOR AT ÅBNE DØRERNE","RÉCOLTEZ LES CLÉS POUR OUVRIR LES PORTES","VERZAMEL SLEUTELS OM DEUREN TE OPENEN","RECOLECTA LLAVES PARA ABRIR LAS PUERTAS"
"DX_LordVortech_OofGetOffMe","All","Subtitle","Suspicious Mummy: Oof! Get off me you silly thing.","Suspicious Mummy: Oof! Get off me you silly thing.","Momie suspecte : Ouf¬! Tu vas me lâcher... saleté¬!","Verdächtige Mumie: Runter von mir! Du dummes Ding!","Uf! Lad mig være, dit skabede bæst.","Momie suspecte : Ouf¬! Tu vas me lâcher... saleté¬!","Verdachte mummie: Ga van me af, raar ding.","Momia sospechosa: ¡Uf! Quítate de encima, tonto."
